FL_DATE,Max_Temp,Mean_Temp,Min_Temp, Max_Visibility, Mean_Visibility, MinVisibility, Max_Wind_Speed, Mean_Wind_Speed, Cloud_Cover, Events
1/1/14,34,29,24,10,10,10,18,9,5,
1/2/14,33,26,19,10,7,0,29,18,8,Snow
1/3/14,19,14,9,10,5,0,33,20,3,Fog-Snow
1/4/14,31,17,3,10,10,10,17,7,3,
1/5/14,49,36,23,10,5,0,23,7,7,Fog-Rain
1/6/14,53,37,20,10,5,0,38,21,7,Fog-Rain-Snow
1/7/14,20,13,6,10,10,10,38,23,1,
1/8/14,24,17,10,10,10,10,22,13,3,
1/9/14,34,28,22,10,10,10,15,7,4,
1/10/14,38,31,24,10,4,0,7,4,8,Rain-Snow
1/11/14,54,46,38,10,3,0,31,16,8,Fog-Rain
1/12/14,52,43,33,10,10,10,28,15,5,
1/13/14,50,40,30,10,10,9,26,12,4,
1/14/14,48,46,43,10,7,0,18,9,8,Rain
1/15/14,44,38,32,7,1,0,12,5,6,Fog
1/16/14,42,39,35,10,8,0,16,7,8,Fog
1/17/14,45,37,28,10,10,10,20,7,4,
1/18/14,42,35,28,10,8,2,23,11,7,Rain-Snow-Thunderstorm
1/19/14,38,32,26,10,10,10,28,16,5,
1/20/14,48,41,33,10,10,9,26,15,6,Snow
1/21/14,33,23,13,10,3,0,26,16,8,Snow
1/22/14,18,13,7,10,9,5,32,19,5,Snow
1/23/14,21,15,8,10,10,10,24,14,4,
1/24/14,20,16,11,10,10,10,25,17,3,
1/25/14,30,25,20,10,8,0,37,21,7,Fog-Snow
1/26/14,36,27,18,10,10,3,32,17,5,Snow
1/27/14,45,34,22,10,10,10,28,14,7,
1/28/14,22,18,14,10,10,7,23,10,7,Snow
1/29/14,24,20,16,10,8,2,23,13,5,Snow
1/30/14,28,21,14,10,10,10,15,8,1,
1/31/14,43,34,25,10,10,10,17,9,7,
2/1/14,43,37,30,10,10,8,10,4,6,
2/2/14,52,41,30,10,6,0,16,7,7,Fog
2/3/14,44,36,28,10,5,0,18,12,8,Fog-Rain-Snow
2/4/14,35,29,22,10,10,10,14,6,5,
2/5/14,35,33,30,10,5,0,22,11,8,Rain-Snow
2/6/14,32,28,24,10,10,10,22,12,7,
2/7/14,32,29,25,10,10,10,21,13,4,
2/8/14,29,25,21,10,10,10,17,9,6,
2/9/14,30,25,20,10,8,0,17,9,6,Fog-Snow
2/10/14,29,25,21,10,10,10,24,15,3,
2/11/14,25,21,16,10,10,10,21,13,2,
2/12/14,27,20,12,10,10,10,17,8,6,
2/13/14,36,31,26,10,4,0,37,21,8,Fog-Rain-Snow
2/14/14,41,37,32,10,8,1,37,19,5,Rain-Snow
2/15/14,37,33,28,10,6,0,31,15,8,Fog-Rain-Snow
2/16/14,30,26,22,10,10,10,32,17,5,
2/17/14,32,26,19,10,10,10,31,10,3,
2/18/14,40,33,26,10,7,1,24,9,6,Snow
2/19/14,44,36,27,10,7,0,18,8,6,Fog-Rain
2/20/14,44,39,33,10,9,5,20,8,5,Rain
2/21/14,47,41,35,10,3,0,28,10,7,Fog-Rain
2/22/14,53,44,34,10,10,5,23,12,2,
2/23/14,55,45,35,10,10,10,23,7,6,
2/24/14,45,37,28,10,10,10,31,18,4,Rain
2/25/14,35,31,26,10,10,10,26,13,5,
2/26/14,33,27,20,10,7,0,24,12,6,Snow
2/27/14,35,25,15,10,9,2,32,15,3,Snow
2/28/14,26,19,11,10,10,10,30,11,1,
3/1/14,36,27,17,10,10,10,13,6,5,
3/2/14,43,37,30,10,10,9,16,8,8,Rain-Snow
3/3/14,35,27,18,10,8,2,23,14,7,Snow
3/4/14,29,21,13,10,10,10,18,8,6,
3/5/14,40,33,25,10,10,10,21,8,5,
3/6/14,31,24,17,10,10,10,21,10,4,
3/7/14,36,32,27,10,10,6,18,11,8,Rain
3/8/14,60,46,32,10,10,10,22,12,4,
3/9/14,47,42,36,10,10,9,24,14,6,Rain
3/10/14,51,43,35,10,9,2,22,10,7,Rain-Snow
3/11/14,65,52,38,10,10,10,18,9,7,
3/12/14,57,46,34,10,7,2,32,15,8,Rain
3/13/14,34,26,19,10,10,10,34,29,5,
3/14/14,42,32,22,10,10,10,28,15,5,
3/15/14,61,51,40,10,10,10,30,16,5,Rain
3/16/14,43,37,31,10,10,10,26,16,5,
3/17/14,34,30,25,10,10,8,22,11,7,Snow
3/18/14,43,34,25,10,10,10,20,9,2,
3/19/14,46,37,28,10,9,4,29,15,6,Rain
3/20/14,56,49,42,10,8,1,29,17,5,Rain
3/21/14,54,44,34,10,10,10,23,14,2,
3/22/14,65,50,35,10,10,10,116,14,4,
3/23/14,46,37,28,10,10,10,24,16,6,
3/24/14,36,29,22,10,10,10,25,12,3,
3/25/14,39,31,23,10,10,8,17,8,7,Snow
3/26/14,39,32,25,10,10,8,38,25,5,Snow
3/27/14,39,31,23,10,10,10,26,14,3,
3/28/14,51,44,36,10,10,10,24,13,8,Rain
3/29/14,52,47,41,10,6,2,22,11,7,Rain
3/30/14,55,48,40,10,4,0,28,17,8,Fog-Rain-Thunderstorm
3/31/14,56,45,34,10,8,2,30,20,6,Rain-Snow
4/1/14,57,47,37,10,10,10,16,10,2,
4/2/14,48,43,38,10,10,10,10,4,7,Rain
4/3/14,63,51,39,10,10,8,13,6,6,Rain
4/4/14,45,43,41,10,8,2,26,14,8,Rain
4/5/14,57,49,41,10,8,2,33,17,5,Rain
4/6/14,57,47,37,10,10,10,25,11,1,
4/7/14,51,44,37,10,7,2,26,11,8,Rain
4/8/14,66,57,47,10,5,0,30,14,7,Fog-Rain-Thunderstorm
4/9/14,64,54,43,10,10,10,30,15,2,
4/10/14,53,46,38,10,10,10,29,16,2,
4/11/14,69,58,47,10,10,10,20,9,7,Rain
4/12/14,68,59,49,10,10,10,18,8,4,
4/13/14,65,56,47,10,10,8,31,15,5,
4/14/14,66,59,51,10,9,0,36,23,6,Fog
4/15/14,56,45,34,10,3,0,33,23,8,Fog-Rain-Snow
4/16/14,49,41,32,10,10,5,31,16,4,Rain-Snow
4/17/14,47,41,35,10,10,10,22,13,3,
4/18/14,46,41,36,10,10,10,30,7,7,
4/19/14,68,54,40,10,10,10,20,10,6,
4/20/14,54,48,42,10,10,10,22,12,5,
4/21/14,58,48,37,10,10,10,13,6,3,
4/22/14,62,54,45,10,10,9,24,9,6,Rain
4/23/14,63,54,45,10,10,10,37,23,5,
4/24/14,64,54,43,10,10,10,31,21,1,
4/25/14,59,51,43,10,10,10,18,10,5,Rain
4/26/14,67,57,46,10,9,2,22,10,7,Rain
4/27/14,61,54,46,10,10,10,23,14,4,
4/28/14,66,56,45,10,10,10,22,10,5,
4/29/14,51,48,44,10,10,10,31,20,8,Rain
4/30/14,56,49,42,10,4,1,31,19,8,Rain
5/1/14,71,62,53,10,4,0,23,13,7,Fog-Rain
5/2/14,69,61,52,10,10,7,24,11,6,Rain
5/3/14,66,58,49,10,10,10,23,10,5,Rain
5/4/14,66,60,53,10,10,10,32,19,5,
5/5/14,69,60,50,10,10,10,33,17,3,
5/6/14,69,60,50,10,10,10,22,10,4,
