YEAR,MONTH,DAY_OF_MONTH,FL_DATE,UNIQUE_CARRIER,ORIGIN,DEST,DEP_DELAY_NEW
2015,1,1,1/1/15,AA,JFK,LAX,0
2015,1,2,1/2/15,AA,JFK,LAX,0
2015,1,3,1/3/15,AA,JFK,LAX,0
2015,1,4,1/4/15,AA,JFK,LAX,0
2015,1,5,1/5/15,AA,JFK,LAX,0
2015,1,6,1/6/15,AA,JFK,LAX,0
2015,1,7,1/7/15,AA,JFK,LAX,0
2015,1,8,1/8/15,AA,JFK,LAX,0
2015,1,9,1/9/15,AA,JFK,LAX,1
2015,1,10,1/10/15,AA,JFK,LAX,3
2015,1,11,1/11/15,AA,JFK,LAX,0
2015,1,12,1/12/15,AA,JFK,LAX,0
2015,1,13,1/13/15,AA,JFK,LAX,0
2015,1,14,1/14/15,AA,JFK,LAX,0
2015,1,15,1/15/15,AA,JFK,LAX,0
2015,1,16,1/16/15,AA,JFK,LAX,0
2015,1,17,1/17/15,AA,JFK,LAX,0
2015,1,18,1/18/15,AA,JFK,LAX,16
2015,1,19,1/19/15,AA,JFK,LAX,0
2015,1,20,1/20/15,AA,JFK,LAX,0
2015,1,21,1/21/15,AA,JFK,LAX,0
2015,1,22,1/22/15,AA,JFK,LAX,0
2015,1,23,1/23/15,AA,JFK,LAX,0
2015,1,24,1/24/15,AA,JFK,LAX,103
2015,1,25,1/25/15,AA,JFK,LAX,3
2015,1,26,1/26/15,AA,JFK,LAX,0
2015,1,27,1/27/15,AA,JFK,LAX,
2015,1,28,1/28/15,AA,JFK,LAX,
2015,1,29,1/29/15,AA,JFK,LAX,0
2015,1,30,1/30/15,AA,JFK,LAX,0
2015,1,31,1/31/15,AA,JFK,LAX,0
2015,1,1,1/1/15,AA,JFK,LAX,0
2015,1,2,1/2/15,AA,JFK,LAX,0
2015,1,3,1/3/15,AA,JFK,LAX,0
2015,1,4,1/4/15,AA,JFK,LAX,0
2015,1,5,1/5/15,AA,JFK,LAX,0
2015,1,6,1/6/15,AA,JFK,LAX,0
2015,1,7,1/7/15,AA,JFK,LAX,0
2015,1,8,1/8/15,AA,JFK,LAX,0
2015,1,9,1/9/15,AA,JFK,LAX,0
2015,1,10,1/10/15,AA,JFK,LAX,0
2015,1,11,1/11/15,AA,JFK,LAX,3
2015,1,12,1/12/15,AA,JFK,LAX,0
2015,1,13,1/13/15,AA,JFK,LAX,0
2015,1,14,1/14/15,AA,JFK,LAX,1
2015,1,15,1/15/15,AA,JFK,LAX,0
2015,1,16,1/16/15,AA,JFK,LAX,0
2015,1,17,1/17/15,AA,JFK,LAX,0
2015,1,18,1/18/15,AA,JFK,LAX,0
2015,1,19,1/19/15,AA,JFK,LAX,0
2015,1,20,1/20/15,AA,JFK,LAX,0
2015,1,21,1/21/15,AA,JFK,LAX,0
2015,1,22,1/22/15,AA,JFK,LAX,0
2015,1,23,1/23/15,AA,JFK,LAX,0
2015,1,24,1/24/15,AA,JFK,LAX,0
2015,1,25,1/25/15,AA,JFK,LAX,0
2015,1,26,1/26/15,AA,JFK,LAX,0
2015,1,27,1/27/15,AA,JFK,LAX,
2015,1,28,1/28/15,AA,JFK,LAX,
2015,1,29,1/29/15,AA,JFK,LAX,0
2015,1,30,1/30/15,AA,JFK,LAX,29
2015,1,31,1/31/15,AA,JFK,LAX,0
2015,1,1,1/1/15,AA,JFK,LAX,0
2015,1,2,1/2/15,AA,JFK,LAX,15
2015,1,3,1/3/15,AA,JFK,LAX,0
2015,1,4,1/4/15,AA,JFK,LAX,0
2015,1,5,1/5/15,AA,JFK,LAX,0
2015,1,6,1/6/15,AA,JFK,LAX,0
2015,1,7,1/7/15,AA,JFK,LAX,2
2015,1,8,1/8/15,AA,JFK,LAX,0
2015,1,9,1/9/15,AA,JFK,LAX,1
2015,1,10,1/10/15,AA,JFK,LAX,0
2015,1,11,1/11/15,AA,JFK,LAX,0
2015,1,12,1/12/15,AA,JFK,LAX,0
2015,1,13,1/13/15,AA,JFK,LAX,0
2015,1,14,1/14/15,AA,JFK,LAX,0
2015,1,15,1/15/15,AA,JFK,LAX,0
2015,1,16,1/16/15,AA,JFK,LAX,0
